,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
416,Fujitsu Hong Kong Limited,System Engineer,Data Engineer,Hong Kong,3.4,10000+ Employees,1935,Company - Public,Enterprise Software & Network Solutions,Information Technology,,,
417,Salt Recruitment,Data Analyst,Data Engineer,Hong Kong,3.3,201 to 500 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,HK$204K - HK$430K,204.0,430.0
418,Eastech Systems Limited,System Engineer,Data Engineer,Hong Kong,3.4,51 to 200 Employees,,Company - Private,,,HK$240K - HK$500K,240.0,500.0
419,SOUTH CHINA MORNING POST PUBLISHERS LTD,Data Analyst,Data Engineer,Hong Kong,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,,,
420,Randstad,Sales Engineer (1-2 year exp./ products),Data Engineer,Hong Kong,3.9,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Services,,,
421,Tandam Fintech Limited,"Software Engineer, Backend (Digital Health & Wealth Platform)",Data Engineer,Hong Kong,3.9,,,,,,,,
422,Michael Page HK,System Engineer - Market Leading MNC,Data Engineer,Hong Kong,3.6,201 to 500 Employees,,Company - Private,Security Services,Business Services,,,
423,Acton Consulting Limited,( Senior ) Data Analyst / Scientist x 2,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$273K - HK$456K,273.0,456.0
424,Changjiang Securities International Financial Group Limited,IT System Engineer,Data Engineer,Hong Kong,3.4,501 to 1000 Employees,,Company - Public,Brokerage Services,Finance,HK$198K - HK$420K,198.0,420.0
425,"JPMorgan Chase Bank, N.A.","Agency Securities Lending Software Engineer, Associate",Data Engineer,Hong Kong,3.7,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Credit Unions,Finance,,,
426,Ambitious People Group,Software Engineer (Frontend/Backend) | Blockchain Fintech,Data Engineer,Hong Kong,4.7,51 to 200 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,HK$168K - HK$300K,168.0,300.0
