,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
471,"The Bank of East Asia, Limited",Banking Talent Programme - Data Engineer,Data Engineer,Hong Kong,3.1,5001 to 10000 Employees,,Company - Public,Banks & Credit Unions,Finance,,,
472,Zebra Strategic Outsource Solutions,Junior Data Engineer (SAS,Data Engineer,Kowloon City,,51 to 200 Employees,,Company - Private,,,,,
473,ATAL Engineering Group 安樂工程集團,Sales Engineer (REF: ADC/SALES),Data Engineer,Hong Kong,,,,,,,,,
474,Esri China,Research Engineer,Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1969,Company - Private,Computer Hardware & Software,Information Technology,HK$168K - HK$252K,168.0,252.0
475,Pinpoint Asia,Linux Engineer (Top Financial Firm),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
476,ATAL Engineering Group 安樂工程集團,Sales Engineer (REF: ADC/SALES),Data Engineer,Hong Kong,4.1,,,,,,,,
477,Shui On Construction Company Limited,Engineer,Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Company - Public,Metal & Mineral Manufacturing,Manufacturing,,,
478,Pinpoint Asia,R&D Fullstack Software Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
479,Accenture,Data Architect,Data Engineer,Hong Kong,3.5,10000+ Employees,1989,Company - Public,Consulting,Business Services,,,
480,"JPMorgan Chase Bank, N.A.",Trading Technology Software Engineer,Data Engineer,Hong Kong,3.7,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Credit Unions,Finance,,,
481,Société Générale,TRAINEE: Data Analyst,Data Engineer,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
482,Argyll Scott,Sr Data Scientist - Mid-size Consulting firm,Data Engineer,Remote,3.7,51 to 200 Employees,2010,Company - Private,Staffing & Outsourcing,Business Services,,,
483,Swire Properties,Customer Data Analyst (2-year contract),Data Engineer,Taikoo Shing,3.7,1001 to 5000 Employees,1972,Company - Private,,,,,
484,Pinpoint Asia,Junior IT Helpdesk Support Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
485,"JPMorgan Chase Bank, N.A.","C# or React.js Front Office Software Engineer, Associate",Data Engineer,Hong Kong,3.7,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Credit Unions,Finance,,,
486,MoneySQ Limited,Data Analyst,Data Engineer,Hong Kong,3.0,51 to 200 Employees,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
487,Pacific Careers,Data Architect,Data Engineer,Quarry Bay,,Unknown,,Company - Private,,,HK$210K - HK$456K,210.0,456.0
488,Pinpoint Asia,Trading Systems Linux DevOps Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$540K - HK$750K,540.0,750.0
489,Ambitious People,Software Engineer (Frontend/Backend),Data Engineer,Hong Kong,4.7,51 to 200 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,,,
490,"JPMorgan Chase Bank, N.A.",Regulatory Reporting Software Engineer (12-month Fixed-Term Contractor),Data Engineer,Hong Kong,3.7,10000+ Employees,1799,Subsidiary or Business Segment,Banks & Credit Unions,Finance,,,
491,Gammon Security & Technology Limited,Field Technician / Engineer,Data Engineer,Hong Kong,3.9,,,,,,,,
492,SAE Magnetics (H.K) Ltd,Electronic Engineer,Data Engineer,Hong Kong,3.4,Unknown,,Company - Private,Computer Hardware & Software,Information Technology,,,
493,UBS,Software Engineer/Developer,Data Engineer,Hong Kong,3.4,10000+ Employees,1862,Company - Public,Investment Banking & Asset Management,Finance,HK$485K - HK$655K,485.0,655.0
494,Pinpoint Asia,IT Helpdesk Support Engineer (Contract),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
495,Acton Consulting Limited,( Senior ) Security Engineer / Security Analyst,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
496,CR Construction Company Limited,BS Engineer,Data Engineer,Hong Kong,3.5,501 to 1000 Employees,,Company - Private,,,HK$228K - HK$360K,228.0,360.0
497,Digital Realty,Remote Hands Engineer,Data Engineer,Quarry Bay,4.4,1001 to 5000 Employees,2004,Company - Public,IT Services,Information Technology,HK$240K - HK$420K,240.0,420.0
498,Pacific Careers,Data Analyst,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
499,Pinpoint Asia,End-User Tech Systems Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$198K - HK$480K,198.0,480.0
500,MTR Corporation Limited香港鐵路有限公司,Engineer II-Telecom (Ref: 210000HZ),Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,,,
501,Salesforce,Devops Engineer - China,Data Engineer,Hong Kong,4.4,10000+ Employees,1999,Company - Public,Computer Hardware & Software,Information Technology,,,
502,ASM,(Senior) Electronic Engineer (Fresh Graduate / IANG Holder Is Welcome ),Data Engineer,Hong Kong,3.2,10000+ Employees,1975,Company - Public,Industrial Manufacturing,Manufacturing,HK$217K - HK$348K,217.0,348.0
503,Build King Holdings Ltd,Design Engineer - Site based (ref: CT/DE),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",HK$246K - HK$300K,246.0,300.0
504,Pinpoint Asia,Senior Infrastructure Engineer (Windows / Linux / Network),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
505,Hong Kong Broadband Network,NOC Engineer,Data Engineer,Hong Kong,3.5,1001 to 5000 Employees,1999,Company - Public,Internet,Information Technology,HK$331K - HK$454K,331.0,454.0
506,KML Engineering,Engineer / Associate Engineer – Electrical,Data Engineer,Sha Tin,1.6,51 to 200 Employees,,Company - Private,Architectural & Engineering Services,Business Services,,,
507,Welbot Technology Limited,Automation Engineer (Mechatronics/ Mechanical/ Electrical),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
508,KML Engineering,Engineer / Associate Engineer – Electronic,Data Engineer,Sha Tin,1.6,51 to 200 Employees,,Company - Private,Architectural & Engineering Services,Business Services,,,
509,Pinpoint Asia,QA/Testing Senior Engineer (Mobile / IoT / Digital),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$168K - HK$276K,168.0,276.0
510,PEOBASE Limited,Support Engineer,Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,HK$240K - HK$420K,240.0,420.0
511,WSP (Asia) Limited,Senior Engineer (Smart Solutions),Data Engineer,Hong Kong,3.5,10000+ Employees,1959,Company - Public,Architectural & Engineering Services,Business Services,HK$282K - HK$372K,282.0,372.0
512,Pinpoint Asia,Identity Management Security Operation Level 3 Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$330K - HK$546K,330.0,546.0
513,"The Hongkong Electric Co., Ltd.",Engineer II (Communication) (Ref: TND-TS-EII-CS-CT),Data Engineer,Hong Kong,3.7,Unknown,,Company - Public,Construction,"Construction, Repair & Maintenance",,,
514,MTR Corporation Limited香港鐵路有限公司,Design Engineer - Civil & Structural (Ref: 210000G8),Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,,,
515,Crypto.com,QA Automation Engineer (Exchange or Trading Platform),Data Engineer,Central,4.4,201 to 500 Employees,2016,Company - Private,Internet,Information Technology,,,
516,Chong Hing Bank,"Assistant Vice President, Database Administration - IT Operations Department",Data Engineer,Hong Kong,2.9,1001 to 5000 Employees,1948,Company - Public,Banks & Credit Unions,Finance,HK$360K - HK$690K,360.0,690.0
517,Pinpoint Asia,Trading Infrastructure Platform Engineer (Senior Associate),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$447K - HK$657K,447.0,657.0
518,"The Hongkong Electric Co., Ltd.",Engineer II (Protection)(Ref. No. TND-TS-EII-PS-CT),Data Engineer,Hong Kong,3.7,Unknown,,Company - Public,Construction,"Construction, Repair & Maintenance",,,
519,The Trade Desk,Lead Senior Software Engineer,Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,2009,Company - Public,Internet,Information Technology,HK$230K - HK$500K,230.0,500.0
520,Prive Financial,Intern-Software Engineer,Data Engineer,Hong Kong,2.7,1 to 50 Employees,2011,Company - Private,Investment Banking & Asset Management,Finance,,,
521,ASM Technology Hong Kong Ltd.,Production Engineer (HK/Shenzhen Plant),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,HK$138K - HK$246K,138.0,246.0
522,Pinpoint Asia,Full Stack Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
523,Nexperia Hong Kong Limited,Principal Engineer Modelling (Simulation),Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,HK$294K - HK$600K,294.0,600.0
524,"The Hongkong Electric Co., Ltd.",Engineer II (Support)(Ref: TND-OP-EII-S-CT),Data Engineer,Hong Kong,3.7,Unknown,,Company - Public,Construction,"Construction, Repair & Maintenance",HK$279K - HK$454K,279.0,454.0
525,Links International,Business Data Analyst (FG welcome),Data Engineer,Hong Kong,4.1,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,,,
526,Spring Professional (Hong Kong) Pte Ltd,Database Administration,Data Engineer,Hong Kong,3.9,501 to 1000 Employees,2015,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,HK$240K - HK$468K,240.0,468.0
527,ASM Technology Hong Kong Ltd.,(Senior) Platform Software Engineer to Senior Platform Software Engineer/ Platform Software Engineer.,Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,HK$120K - HK$192K,120.0,192.0
528,Pinpoint Asia,Network Engineers (Cisco Voice/Data),Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
529,The Hong Kong University of Science and Technology,Engineer,Data Engineer,Clear Water Bay,4.4,1001 to 5000 Employees,1991,College / University,Colleges & Universities,Education,,,
530,Hillman Ross,Senior Environmental Engineer/ Environmental Engineer,Data Engineer,Hong Kong,2.2,1 to 50 Employees,2012,Company - Private,,,,,
531,Plover Bay Technologies Limited,QA / Test Engineer,Data Engineer,Hong Kong,4.0,201 to 500 Employees,,Company - Public,,,,,
532,Andrew Lee King Fun & Associates Architects Ltd,Resident Assistant Structural Engineer (RASE),Data Engineer,Hong Kong,2.9,201 to 500 Employees,,Contract,,,,,
533,"Pentahotel Hong Kong, Kowloon",DUTY ENGINEER (5-DAY WORK WEEK) 當值工程師 (五天工作週),Data Engineer,Hong Kong,3.8,1001 to 5000 Employees,2007,Unknown,"Hotels, Motels, & Resorts",Travel & Tourism,,,
534,Links International,Quality Engineer Toys,Data Engineer,Hong Kong,4.1,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,,,
535,Keysen Property Management Services Limited,Assistant Engineer,Data Engineer,Hong Kong,3.0,201 to 500 Employees,,Company - Private,,,,,
536,Paul Y. Engineering Group,(Assistant) Planning Engineer,Data Engineer,Hong Kong,3.2,1001 to 5000 Employees,,Company - Private,,,,,
537,Venturenix Limited,Data Engineer | Global Consulting Firm,Data Engineer,Hong Kong,2.0,1 to 50 Employees,,Company - Private,,,,,
538,Build King Holdings Ltd,Senior Site Engineer / Site Engineer (Ref:CT/SSE),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",,,
539,Meinhardt Facade Technology (H.K.) Limited,Facade Engineer / Assistant Facade Engineer / Graduate Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
540,Asia Progress Executive Limited,Network Support Engineer - Private Banking $30K-33K permonth,Data Engineer,Hong Kong,2.5,Unknown,,Company - Private,,,,,
541,Rosewood Hong Kong,Duty Engineer,Data Engineer,Hong Kong,3.1,1001 to 5000 Employees,,Company - Private,,,,,
542,Horson International Limited,Software Engineer,Data Engineer,Hong Kong,4.0,,,,,,,,
543,Build King Holdings Ltd,Design Engineer - H/O (ref: CT/DE),Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1980,Company - Private,Construction,"Construction, Repair & Maintenance",,,
544,Standard Chartered,Data Engineer - Mox,Data Engineer,Hong Kong,3.8,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,,,
545,Pinpoint Asia,Data Architect & Data Management Lead,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$444K - HK$720K,444.0,720.0
546,Hasbro,Project Engineer (Sustainability),Data Engineer,Hong Kong,3.8,5001 to 10000 Employees,1923,Company - Public,Consumer Products Manufacturing,Manufacturing,HK$363K - HK$432K,363.0,432.0
547,GE Healthcare,Digital Customer Support Engineer,Data Engineer,Hong Kong,3.8,10000+ Employees,1892,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,,,
548,Tricor Group,System Engineer,Data Engineer,Hong Kong,3.1,201 to 500 Employees,,Company - Private,Advertising & Marketing,Business Services,HK$240K - HK$500K,240.0,500.0
549,Pinpoint Asia,Application Security Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
550,ASM Technology Hong Kong Ltd.,(Senior) Software Engineer (System Programming) (Fresh Graduate / IANG Holder Is Welcome),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,,,
551,Aura Labs Limited,Software Engineer (PHP web applications),Data Engineer,Hong Kong,,1 to 50 Employees,,Company - Private,,,HK$144K - HK$564K,144.0,564.0
552,Pinpoint Asia Limited,Windows Workplace (M365) Engineer - Leading Financial Institution,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
553,Seamatch Asia,IT support / Senior System Analyst & Programmer / System or Network Engineer / Business Analyst,Data Engineer,Hong Kong,2.8,1 to 50 Employees,,Company - Private,Staffing & Outsourcing,Business Services,,,
554,Eternity Consulting,Assistant Data Analyst / Data Analyst - BI / Reporting tools,Data Engineer,Lai Chi Kok,3.0,Unknown,,Company - Private,,,HK$185K - HK$432K,185.0,432.0
555,ASM Technology Hong Kong Ltd.,(Senior) Vibration Engineer (Fresh Graduate / IANG Holder Is Welcome,Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,,,
556,"Ming Hing Waterworks Engineering Co., Ltd",Site Engineer/ Assistant Engineer,Data Engineer,Hong Kong,,501 to 1000 Employees,,Company - Private,,,HK$218K - HK$269K,218.0,269.0
557,block.one,"Specialist, Database Administration, HK",Data Engineer,Hong Kong,3.2,51 to 200 Employees,,Self-employed,IT Services,Information Technology,HK$240K - HK$348K,240.0,348.0
558,Pinpoint Asia Limited,Principal Automation Engineer - Top Financial Firm,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$123K - HK$288K,123.0,288.0
559,ASM Technology Hong Kong Ltd.,Software Engineer (C / C++ Preferred)(Fresh Graduate / IANG Holder Is Welcome),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,,,
560,Automated Systems (H.K.) Limited,Cyber Security Support Engineer,Data Engineer,Hong Kong,3.3,51 to 200 Employees,1996,Company - Public,IT Services,Information Technology,,,
561,G4S Security Systems (Hong Kong) Limited,Project Sales Engineer,Data Engineer,Hong Kong,3.3,10000+ Employees,2004,Company - Public,Security Services,Business Services,HK$240K - HK$504K,240.0,504.0
562,Page Personnel,Data Analyst - machine learning,Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,HK$204K - HK$423K,204.0,423.0
563,Pinpoint Asia,Windows Systems Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$198K - HK$480K,198.0,480.0
564,Page Personnel,"Data Analyst, Commercial Banking, Top Tier",Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,HK$204K - HK$423K,204.0,423.0
565,ASM Technology Hong Kong Ltd.,(Senior) CAE Engineer (Fresh Graduate / IANG Holder Is Welcome),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,HK$168K - HK$223K,168.0,223.0
566,Page Group Hong Kong,Associate Data Scientist/ Data Scientist - Top Tier Bank,Data Engineer,Hong Kong,3.8,5001 to 10000 Employees,1976,Company - Public,Staffing & Outsourcing,Business Services,,,
567,Pinpoint Asia Limited,Network Deployment Engineer - Leading Investment Bank,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$276K - HK$378K,276.0,378.0
568,ASM Technology Hong Kong Ltd.,Motor Design Engineer (Fresh Graduate / IANG Holder Is Welcome ),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,HK$207K - HK$260K,207.0,260.0
569,Neuberger Berman,Application Support Engineer,Data Engineer,Hong Kong,4.2,1001 to 5000 Employees,1939,Company - Private,Investment Banking & Asset Management,Finance,HK$600K - HK$720K,600.0,720.0
570,Page Personnel,Data Scientist - Investment Bank,Data Engineer,Hong Kong,4.2,Unknown,,Company - Public,,,HK$264K - HK$500K,264.0,500.0
571,Clustertech Limited,Software Engineer (ACT-EAS-2),Data Engineer,Hong Kong,3.9,51 to 200 Employees,2000,Company - Private,Computer Hardware & Software,Information Technology,HK$122K - HK$400K,122.0,400.0
572,Arup,People Assistant | Reward,Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
573,Hip Hing Construction,Engineer,Data Engineer,Hong Kong,4.2,Unknown,,Company - Private,,,,,
574,GE Healthcare,Digital Customer Support Engineer,Data Engineer,Hong Kong Island,3.8,10000+ Employees,1892,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,,,
575,Arup,2021 Intern / Sandwich Student (Energy),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
576,Intact,"Strategy research Intern/Associate – Hong Kong, Intact Lab",Data Engineer,Hong Kong,4.4,10000+ Employees,,Company - Public,Insurance Carriers,Insurance,,,
577,MTR Corporation,Engineer - Material,Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,,,
578,"Advanced Energy Industries, Inc",Engineer - Intellectual Property,Data Engineer,Hong Kong,3.7,10000+ Employees,1981,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,,,
579,協興建築有限公司,高級工程師,Data Engineer,Hong Kong,,,,,,,,,
580,Black & Veatch,Assistant Engineer,Data Engineer,Kwun Tong,4.1,10000+ Employees,1915,Company - Private,Architectural & Engineering Services,Business Services,HK$246K - HK$255K,246.0,255.0
581,South China Morning Post,Senior Data Analyst (Magazines),Data Engineer,Hong Kong,3.3,501 to 1000 Employees,1903,Company - Private,Publishing,Media,,,
582,ASM Technology Hong Kong Ltd.,Computer Vision Engineer / Senior Computer Vision Engineer (Fresh Graduate / IANG Holder Is Welcome),Data Engineer,Hong Kong,3.6,501 to 1000 Employees,,Contract,Consulting,Business Services,,,
583,Pinpoint Asia,Network Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
584,Roche,Real World Data Scientist,Data Engineer,Hong Kong,4.0,10000+ Employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,HK$396K - HK$588K,396.0,588.0
585,Robert Walters,SD-WAN Engineer,Data Engineer,Hong Kong,4.0,1001 to 5000 Employees,1985,Company - Public,Staffing & Outsourcing,Business Services,,,
586,Macquarie Group Limited,"Front Office DevOps Engineer, Manager",Data Engineer,Hong Kong,4.0,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,HK$625K - HK$756K,625.0,756.0
587,Goldman Sachs,Software Engineer - Securitized Derivatives,Data Engineer,Hong Kong,4.0,10000+ Employees,1869,Company - Public,Investment Banking & Asset Management,Finance,,,
588,REC Engineering Company Limited,Sales Engineer(Ref No.:SE/21/637),Data Engineer,Hong Kong,3.3,Unknown,,Company - Private,,,HK$200K - HK$516K,200.0,516.0
589,REC Engineering Company Limited,Engineer (BMS/EMS)(Ref.: E/21/638),Data Engineer,Hong Kong,3.3,Unknown,,Company - Private,,,,,
590,Philip Morris International,Sr Engineer CMO Quality,Data Engineer,Hong Kong,4.0,10000+ Employees,2008,Company - Public,Consumer Products Manufacturing,Manufacturing,,,
591,STA Pacific,Assistant Data Analyst,Data Engineer,Hong Kong,4.5,1 to 50 Employees,,Company - Private,,,HK$204K - HK$420K,204.0,420.0
592,Prudential Surveyors International Ltd,Senior Engineer / Engineer (Civil),Data Engineer,Hong Kong,4.0,51 to 200 Employees,,Company - Private,,,HK$276K - HK$488K,276.0,488.0
593,Acton Consulting Limited,(Senior) Consultant / Engineer - Network or Security (Pre-Sales support) X 5 openings,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
594,Pinpoint Asia,UNIX (AIX) Senior Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
595,STA Pacific,Software Engineer (Web/ Mobile Application),Data Engineer,Hong Kong,4.5,1 to 50 Employees,,Company - Private,,,HK$216K - HK$276K,216.0,276.0
596,REC Engineering Company Limited,Senior Electrical Engineer (Ref.: SE/21/639),Data Engineer,Hong Kong,3.3,Unknown,,Company - Private,,,HK$336K - HK$560K,336.0,560.0
597,Pinpoint Asia,L3 Senior Infrastructure Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$269K - HK$480K,269.0,480.0
598,Aurecon Group,Resident Engineer,Data Engineer,Hong Kong,3.7,5001 to 10000 Employees,2009,Company - Private,Consulting,Business Services,,,
599,REC Engineering Company Limited,Assistant Engineer (Contract) (Ref.: AE/21/652),Data Engineer,Hong Kong,3.3,Unknown,,Company - Private,,,,,
600,Delvify,Computer Vision ML Engineer,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,,,
601,Concord Information Technology International Ltd,IT Engineer / Technical Support,Data Engineer,Hong Kong,,Unknown,,Company - Private,,,HK$176K - HK$324K,176.0,324.0
602,Pinpoint Asia,Cloud Reliability Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
603,Hasbro,Project Engineer (PM CoE),Data Engineer,Hong Kong,3.8,5001 to 10000 Employees,1923,Company - Public,Consumer Products Manufacturing,Manufacturing,HK$363K - HK$432K,363.0,432.0
604,Changjiang Securities International Financial Group Limited,Application Support Engineer,Data Engineer,Hong Kong,3.4,501 to 1000 Employees,,Company - Public,Brokerage Services,Finance,HK$600K - HK$720K,600.0,720.0
605,GE Healthcare,Digital Customer Support Engineer,Data Engineer,Hong Kong,3.8,10000+ Employees,1892,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,HK$239K - HK$516K,239.0,516.0
606,Infosys Limited,Sampling Shop Rep Engineer,Data Engineer,Hong Kong,3.8,10000+ Employees,1981,Company - Public,IT Services,Information Technology,HK$182K - HK$353K,182.0,353.0
607,"Penta-Ocean Construction Co., Ltd.",Senior Civil Engineer (Ref.: SCE/Civil/CP),Data Engineer,Hong Kong,4.1,1001 to 5000 Employees,,Company - Public,Construction,"Construction, Repair & Maintenance",,,
608,Roche,Real World Data Scientist,Data Engineer,Hong Kong,4.3,10000+ Employees,1896,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,HK$396K - HK$588K,396.0,588.0
609,Arup,2021 Graduate Engineer (Environmental),Data Engineer,Hong Kong,4.1,10000+ Employees,1946,Company - Private,Architectural & Engineering Services,Business Services,,,
610,Hong Kong Air Cargo Terminals Limited (Hactl),IT Analyst (System Engineer - Linux),Data Engineer,Hong Kong,3.4,1001 to 5000 Employees,1971,Company - Public,Transportation Management,Transportation & Logistics,,,
611,Randstad,Senior Sustainability Engineer,Data Engineer,Hong Kong,3.9,10000+ Employees,1960,Company - Public,Staffing & Outsourcing,Business Services,,,
612,MTR Corporation,Design Engineer - Civil & Structural,Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,HK$392K - HK$691K,392.0,691.0
613,Hip Hing Construction Co Ltd,Senior Quality Assurance Engineer,Data Engineer,Hong Kong,4.2,Unknown,,Company - Private,,,HK$192K - HK$300K,192.0,300.0
614,MTR Corporation,Senior Standards Engineer,Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,HK$655K - HK$801K,655.0,801.0
615,Time Medical Limited,Robotics Software Engineer,Data Engineer,Hong Kong,4.4,1 to 50 Employees,,Company - Private,,,HK$165K - HK$444K,165.0,444.0
616,Philip Morris International,Senior Engineer - Supplier Quality Monitoring,Data Engineer,Hong Kong,4.0,10000+ Employees,2008,Company - Public,Consumer Products Manufacturing,Manufacturing,,,
617,MTR Corporation,Engineer II-Telecom,Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,,,
618,Pinpoint Asia,AWS Cloud / Salesforce Software Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,,,
619,MTR Corporation,Engineer - Structural (Capital Works),Data Engineer,Hong Kong,3.9,10000+ Employees,1975,Company - Public,Transportation Management,Transportation & Logistics,HK$392K - HK$648K,392.0,648.0
620,Profiled Group Limited,Electronic Engineer,Data Engineer,Hong Kong,,1 to 50 Employees,2008,Company - Private,Consulting,Business Services,,,
621,Pinpoint Asia,Network Operations Engineer,Data Engineer,Hong Kong,5.0,1 to 50 Employees,,Company - Private,,,HK$276K - HK$378K,276.0,378.0
622,Société Générale,Platform & Cloud Engineer,Data Engineer,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
623,ECO Environmental Investments Limited,Assistant Engineer,Data Engineer,Hong Kong,3.7,1001 to 5000 Employees,,Company - Private,,,,,
624,Johnson Controls Hong Kong Limited,Channel Sales Engineer – Building Control Products and related products,Data Engineer,Hong Kong,3.5,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,,,
625,Fresenius Medical Care Asia-Pacific Ltd,Senior Medical Data Analyst,Data Engineer,Hong Kong,3.5,10000+ Employees,1996,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care,,,
626,Crypto.com,Data Architect - Global Fintech Startup,Data Engineer,Sai Wan,4.4,201 to 500 Employees,2016,Company - Private,Internet,Information Technology,,,
627,Links International,Sales Engineer/ Admin - MNC company,Data Engineer,,4.1,51 to 200 Employees,1999,Company - Private,Staffing & Outsourcing,Business Services,,,
628,Otis,"Senior Engineer, Quality and Efficiency",Data Engineer,Kowloon Bay,3.7,10000+ Employees,1854,Subsidiary or Business Segment,Transportation Equipment Manufacturing,Manufacturing,HK$301K - HK$352K,301.0,352.0
629,"Advanced Energy Industries, Inc","Leading Engineer, Mechanical",Data Engineer,Hong Kong,3.7,10000+ Employees,1981,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,HK$294K - HK$395K,294.0,395.0
630,Aurecon Group,Project Mechanical Engineer,Data Engineer,Hong Kong,3.7,5001 to 10000 Employees,2009,Company - Private,Consulting,Business Services,,,
631,METRO Sourcing International Limited,Senior Supply Chain Data Analyst,Data Engineer,Hong Kong,3.5,10000+ Employees,1964,Company - Private,Wholesale,Business Services,HK$244K - HK$480K,244.0,480.0
632,CL Technical Services Limited,"Network & Security Engineer (Firewalls, Network, $25-30K)",Data Engineer,Hong Kong,4.7,1 to 50 Employees,,Company - Public,,,,,
633,Johnson Controls Hong Kong Limited,Channel Sales Engineer – Building Control Products and related products,Data Engineer,Hong Kong,4.0,10000+ Employees,1885,Company - Public,Industrial Manufacturing,Manufacturing,,,
